;idn;library;title;subtitle;category;date;person;ddc;issn
40;957409559;zdb;Mitteilungen des A.H-.Verbandes Bar Kochba - Theodor Herzl Prag und des Kreises ihrer Freunde;;16;1975-;;050;
41;1001554094;zdb;Bar-Kochba-Blätter;Mitteilungen des Jüdischen Turnvereins Bar-Kochba e.V. Berlin;;1919-1920;;290;
42;367067544;zdb;"""Bar Kochba"" Blätter / Jüdischer Turn- und Sport-Verein ""Bar Kochba"" e. V., Hamburg";;;1929-1929;;050;
43;587112123;zdb;Blätter des Jüdischen Turn- u. Sportvereins Bar-Kochba e. V. Leipzig;;;1921;;050;
44;587290137;zdb;Jüdische Jugendblätter;;;1921-1921;;050;
45;1121608418;zdb;Blätter des Jüdischen Turn- und Sportvereins Bar-Kochba e.V. Leipzig;;;1921-1921;;050;
46;1128839113;zdb;Mitteilungen des Jüdischen Turn- und Sportvereins Bar-Kochba e.V. Frankfurt a.M.;;JUDAICA;1925-1926;;290;
48;1128829673;zdb;Bar Kochba;offizielles Organ des jüdischen Turn- u. Sportvereins Bar Kochba e.V. Frankfurt a.M.;JUDAICA;2017;;290;
49;1154538745;zdb;Bar Kochba;Mitteilungen des Südwestdeutschen Gaues im Deutschen Kreis des Makkabi Weltverbandes;;1926-1927;;290;
50;012933279;zdb;Bar Kochba;Bl. für d. heranwachsende jüd. Jugend;JUDAICA;1919-1921;;290;
52;012759562;zdb;Der Makkabi;Organ d. Deutschen Kreises im Makkabi-Weltverband;;1928-1938;;070;
53;012759503;zdb;Jüdische Turnzeitung;officielles Organ d. jüdischen Turnvereins Bar Kochba', Berlin;JUDAICA;1900-1912;;793;
56;011860472;zdb;Central-Verein-Zeitung;"Blätter für Deutschtum u. Judentum ; C-V-Zeitung ; Organ des Central-Vereins Deutscher Staatsbürger Jüdischen Glaubens";1;1925-1933;;070;
57;02526799X;zdb;Central-Verein-Zeitung;"Blätter für Deutschtum und Judentum ; C-V-Zeitung ; Organ des Central-Vereins Deutscher Staatsbürger Jüdischen Glaubens";JUDAICA;1922-1938;;290;
59;984047751;zdb;Central-Verein-Zeitung;"Blätter für Deutschtum u. Judentum ; C-V-Zeitung ; Organ des Central-Vereins Deutscher Staatsbürger Jüdischen Glaubens";JUDAICA;1926-1933;;070;
60;015222101;zdb;Jeschurun;Halbmonatsschrift für Pädagogik, Homiletik und Litteratur;0;1892-1899;;070;
61;98941308X;zdb;Jeschurun;Zeitschrift für die Wissenschaft des Judenthums;;1857-1878;;050;
63;1059648687;zdb;Jeschurun;ein Monatsblatt zur Förderung jüdischen Geistes u. jüdischen Lebens in Haus, Gemeinde u. Schule;JUDAICA;1855-1888;;070;
64;019914873;zdb;Jeschurun;Wochenschrift zur Förderung jüdischen Geistes und jüdischen Lebens in Haus,Gemeinde und Schule;;1883-1888;;290;
65;015319814;zdb;Der Israelit und Jeschurun;;JUDAICA;1889-1891;;290;
68;1164510851;zdb;Jeschurun;Halbmonatsschrift für Pädagogik, Homiletik und Litteratur;JUDAICA;1892-1897;;070;
69;015319148;zdb;Yešūrūn;miktāv 'ittī ham-me' assēf kol 'inyenē ḥokmat Yiśrā'ēl ... = Jeschurun;JUDAICA;1856-1878;;290;
70;110975597X;zdb;Jeschurun;Taschenbuch für Schilderungen und Anklänge aus dem Leben der Juden auf das Jahr ... israelitischer Zeitrechnung;;2016;;290;
71;1171845286;zdb;Jeschurun;Organ für die geistigen und sozialen Interessen des Judenthums;JUDAICA;[1901-1902];;290;
72;010346961;zdb;Jeschurun;Taschenbuch für Schilderungen und Anklänge aus dem Leben der Juden auf das Jahr ... israelitischer Zeitrechnung;JUDAICA;1841-1841;;290;
73;01503495X;zdb;Jeschurun;Zeitschrift für die Wissenschaft des Judenthums;JUDAICA;1859-1878;;290;
74;011861630;zdb;Jeschurun;Monatsschrift für Lehre und Leben im Judentum;0;1914-1930;;290;
75;014472104;zdb;Jeschurun;Organ für d. geistigen u. sozialen Interessen d. Judenthums;JUDAICA;[1901]-1904;;290;
76;025272799;zdb;Jeschurun;ein Monatsblatt zur Förderung jüdischen Geistes und jüdischen Lebens in Haus, Gemeinde und Schule;JUDAICA;1855-1887;;290;
78;013007467;zdb;Jeschurun;ein Monatsbl. für u. über Israel;;1859-1861;;290;
80;211476536;zdb;Sulamith Wülfing;Kunstpostkt.-Kal.;2700;[1989?];;050;
81;017857368;zdb;Sulamith Wülfing;;05;1987-1996;;700;
82;021057656;zdb;Sulamith-Wülfing-Kalender;;;1934-1965;;700;
83;010329447;zdb;Sulamith;ein christliches Taschenbuch zur Belebung häuslicher und öffentlicher Erbauung auf das Jahr ...;;1837-1837;;050;
84;015211908;zdb;Šulamis;ein idiše natzjonale wechentliche tzeitung = Sulamith;JUDAICA;1889-1890;;070;
85;025271539;zdb;Sulamith;eine Zeitschrift zur Beförderung der Cultur und Humanität unter den Israeliten;JUDAICA;1806-1848;;050;
92;018469531;zdb;Verzeichnis der Handschriften im Deutschen Reich;;;1939-1942;;020;
114;019683979;zdb;Die Religionsgliederung im Deutschen Reich, in den Ländern, Verwaltungsbezirken und Gemeinden mit 10000 und mehr Einwohnern;nach der Volkszählung;;1934-1934;;310;
118;018469558;zdb;Verzeichnis der Handschriften im Deutschen Reich;;;1938-1939;;020;
154;015054136;zdb;Verzeichnis der Handschriften im Deutschen Reich;;;1944-1944;;020;
220;025267140;zdb;Im deutschen Reich;Zeitschrift des Centralvereins Deutscher Staatsbürger Jüdischen Glaubens;JUDAICA;1895-1922;;290;
287;015210480;zdb;Literaturblatt;;JUDAICA;1840-1850;;290;
291;58790271X;zdb;Der Orient;"Zeitschrift für die wirtschaftl. Erschließung d. Orients ; Organ d. Allg. Jüd. Kolonisations-Organisation";;1913-1919;;050;
293;1059588153;zdb;Der Orient;Berichte, Studien und Kritiken für jüdische Geschichte und Literatur;JUDAICA;1840-1851;;890;
295;1162447737;zdb;Der Orient;Berichte, Studien und Kritiken für jüdische Geschichte und Literatur;JUDAICA;1840-1850;;;
303;027034526;zdb;Mitteilungen aus dem Verband der Vereine für Jüdische Geschichte und Literatur in Deutschland;;JUDAICA;1895-1921;;290;
304;010880631;zdb;Mitteilungen aus dem Verband der Vereine für Jüdische Geschichte und Literatur in Deutschland;;;1899-1921;;290;
305;026642786;zdb;Palästina-Wirtschaftsdienst;;;1937-1938;;290;
306;026095793;zdb;Yedîʿôt ḥadāšôt Ś. Blûmenṭal;= Blumenthal's neueste Nachrichten;26;1937-1937;;070;
312;013059491;zdb;Freies Palästina;;JUDAICA;1975-;;320;
313;012867640;zdb;Palästina;Zeitschr. für d. Aufbau Palästinas;;1928-1928;;330;
316;013244884;zdb;Directory of Palestine's industries, merchants and professions;= Handbuch der Industrie-, Handels- und Gewerbe-Untersuchungen in Palästina = Manuel des industries, établissements et professions en Palestine;JUDAICA;1934-1934;;380;
317;021395047;zdb;Evangelisches Gemeindeblatt für Palästina;;1;1925-1933;;890;
320;017996023;zdb;Bericht der Deutschen Palästina-Bank, Berlin über das ... Geschäftsjahr für die ordentliche Generalversammlung der Aktionäre;;;1902-1920;;330;
321;019062826;zdb;Programm von Cookś Gesellschaftsreisen nach Aegypten, Palästina, Kleinasien, Constantinopel, Athen u.s.w. / Thos.Cook & Son;;;1896-1899;;380;
325;979810779;zdb;Cook's Nil- und Palästina-Reisen;;;1926-;;380;
328;587127902;zdb;Bibliographisches Bulletin des Zionistischen Zentralarchivs, Jerusalem;Zweimonats-Übersicht über Neuerscheingn zu d. Fragen d. Zionismus u. d. Palästina-Aufbaus;;1937-1937;;050;
331;985359021;zdb;Israel-Philatelie;Israel-Post : Zeitschrift für Briefmarkenkunde von Israel, Osmanisches Reich und Palästina-Mandat, Westbank und Gazastreifen, Palästinensische Autonomieverwaltung und Judaica;;2007-;;760;
332;979997267;zdb;Israel-Berichte für Palästina- und Israel-Briefmarkensammler;;41;1984-1993;;790;
333;1001523938;zdb;Bericht des Vereins zur Erziehung Jüdischer Waisen in Palästina;für das Jahr ...;;1900;;370;
334;58708149X;zdb;... Bericht an das Hilfswerk für Palästina;;;1915-1916;;050;
335;587154454;zdb;Erez-Israel-Haowedeth;"Aus d. palästinensischen Arbeiterbewegung ; Mitteilungsblatt d. Vereins d. Freunde d. arbeitenden Palästina in Wien";;1928-1929;;050;
338;1035243792;zdb;Palästina-Israel-Zeitung für Völkerrecht und Menschenrechte;;;2012-[2016];;341.48;
345;012814865;zdb;Palästina-Report;;JUDAICA;1973-1973;;320;
346;02123812X;zdb;Bulletin / Sozialistisches Komitee für das Arbeitende Palästina;;3,61;1928-1929;;320;
348;023375884;zdb;Bericht der Gesellschaft Jüdischer Aerzte und Naturwissenschaftler für sanitäre Interessen in Palästina;;;1914-1914;;610;
349;02609505X;zdb;Private Correspondenz S. Blumenthal;Übersetzung der neuesten Tagesnachrichten aus den palästinensischen Zeitungen;26;1935-1936;;070;
351;026095432;zdb;Qôrespôndenṣyā perāṭît Ś. Blûmenṭal;= S. Blumenthal's private Correspondenz : Übersetzung der neuesten Tagesnachrichten aus den Zeitungen Erez Israels;26;1936-1936;;070;
353;02604417X;zdb;Licht und Recht (2. Mose 28, 30) und Mitteilungen aus der Schweizer Judenmission in Palästina;;;1949-1949;;230;
354;013157884;zdb;Bericht des Bezalel;;JUDAICA;1906-1918;;700;
355;013090984;zdb;Informationsblatt / Liga für das Arbeitende Palästina;;;1929-1929;;320;
356;013112988;zdb;Wirtschafts-Jahrbuch für Palästina;;;1936-1936;;300;
357;013190598;zdb;Veröffentlichung / Gesellschaft für Palästina-Forschung;;;1910-1923;;930;
360;014581396;zdb;Palaestina antiqua;Cahiers over de materiele cultuur van het Oude Nabije Oosten en Oud Israel;;1982-;;890;0920-7422
361;015319296;zdb;Erets Israel;orgaan van het Secretariaat voor Ned. Indie͏̈ van het Palästina Opbouwfonds Keren Hajesod = Ereṣ-Yiśrā'ēl;JUDAICA;1926-;;290;
362;014925672;zdb;Statistical abstract of Palestine;;;1930-1946;;310;
363;362000212;zdb;Palästina-Bibliothek für Kinder;;;1935-;;K;
364;587304804;zdb;Keren-Hajischuw-Blätter;;;1935-1935;;050;
365;58790481X;zdb;Das neue Palästina;;;1922-;;050;
366;975253395;zdb;Der schwierige Weg nach Palästina;;16;1981-;;320;
367;367060515;zdb;Der Aufstieg;Zeitschrift d. Frau in Palaestina;;1931-1931;;050;
368;367904845;zdb;Palästina-Wirtschaft;Bericht über Handel, Industrie u. Aufbau in Palästina;;1923-1925;;050;
369;587087757;zdb;Bericht der gemeinsamen Palästina-Kommission;;JUDAICA;1928-;;050;
371;587138882;zdb;Dawar;"Tageszeitung der jüdischen Arbeiter in Erez Israel ; Dt. Wochenausg. ; Allgemeine Jüdische Arbeiterorganisation in Palästina";;1931-;;050;
372;587354445;zdb;Das arbeitende Palästina;;;1920-1920;;050;
373;587904828;zdb;Das werdende Palästina;Mitteilungsblätter d. Liga f. d. arbeitende Palästina in Oesterreich;;1934-1936;;050;
375;587066814;zdb;Balkanmarkt und Orient-Post;"Vereinigte Wirtschaftszeitungen für Jugoslavien, Rumänien, Bulgarien, Griechenland, Albanien, die Türkei, Aegypten, Hedschas, Transjordanien, Palästina, Neulibanon, Syrien, Irak, Persien und Afghanistan ; Offizielles Organ des internationalen Institutes für Balkan und Orient u. der Industrie- u. Handelskammer der Balkanstaaten";;1932-1932;;050;
376;587082976;zdb;Bericht über die Konferenz der amerikanischen Nichtzionisten über die Frage der Jewish Agency für Palästina;;;1928-1936;;050;
377;587094001;zdb;Bericht des Verbandes jüdischer Frauen für Kulturarbeit in Palästina;;;1911-1920;;050;
378;1023122235;zdb;Bericht des Esra;Verein zur Unterstützung ackerbautreibender Juden in Palästina und Syrien;;1893-1909;;290;
379;981686974;zdb;Der Kreuzfahrer;Monats-Zeitschrift der Wächter des heil. Grabes in Jerusalem und zugleich des Palästina-Pilgervereines der Diözese Brixen;;1913-1921;;230;
380;1138850462;zdb;Geschäfts-Bericht der Gesellschaft für Palästina-Forschung eingetragener Verein für das Geschäftsjahr ...;;;1913?-1914?;;930;
384;1207327425;zdb;Bericht der Deutschen Palästina-Bank, Berlin über das ... Geschäftsjahr für die ordentliche Generalversammlung der Aktionäre;;;1901-1919;;330;
385;1217287310;zdb;Bericht des Vereins zur Erziehung Jüdischer Waisen in Palästina für das Jahr ...;;;1900;;370;
387;1186279923;zdb;Bericht an den ... Zionistenkongress und an den Council der Jewish Agency for Palestine in ...;;JUDAICA;1935-1935;;290;
388;1225498872;zdb;Bericht des Verbandes jüdischer Frauen für Kulturarbeit in Palästina;;;1912-1914;;050;
390;1264422091;zdb;Israel-Palästina-Zeitung;;;2003-;;;
393;112765425X;zdb;Jüdische Zeitung für Ostdeutschland;;JUDAICA;[1925-1931];;290;
394;019642717;zdb;Mitteilungen für Studierende / Hebräische Universität Jerusalem;Studienjahr ...;;1935-1935;;370;
395;010129847;zdb;Al- thaura;;JUDAICA;1971-;;320;
396;1140939149;zdb;Das jüdische Echo;bayerische Blätter für die jüdischen Angelegenheiten : Mitteilungen der Zionistischen Vereine Bayerns;JUDAICA;1913-1933;;070;
398;018531113;zdb;Tagung / Deutsches Komitee pro Palästina zur Förderung der Jüdischen Palästinasiedlung;;;1927-1927;;290;
400;019548508;zdb;Alijah;Informationen für Palästina-Auswanderer;;1933-1936;;290;
401;013897721;zdb;Volk und Land;jüdische Wochenschr. für Politik, Wirtschaft u. Palaestina-Arbeit;JUDAICA;1919-1919;;290;
402;1214722652;zdb;Das neue Palästina;;JUDAICA;1922;;290;
403;019212410;zdb;Der Keren Hajessod (Palästina-Gründungs-Fonds) auf dem ... Zionistenkongress;enthaltend den Bericht des Hauptbüros des Keren Hajessod an den ... Zionistenkongress;;1925-1925;;320;
404;1008506303;zdb;Bericht an die ... Tagung des Councils der Jewish Agency / Keren Hajessod (Palästina-Gründungsfonds);;;1931-1931;;290;
405;019212488;zdb;Bericht an den ... Zionistenkongress / Keren Hajessod (Palästina-Gründungs-Fonds);;JUDAICA;1927-1931;;320;
406;016124286;zdb;Yedîʿôt hay-yôm;= Yedioth hayom;26;1940-1964;;070;
407;026091046;zdb;Yedîʿôt hay-yôm;= Yedioth hayom;26;1936-1940;;070;
408;010120777;zdb;Lûaḥ ereṣ Jiśrā'ēl;s̆immūs̆ī we-sifrūtī = Litterarischer Palästina-Almanach;JUDAICA;1895-1916;;290;
409;012772747;zdb;Palästina-Nachrichten;Zeitschrift für Wirtschaftsentwicklung im Vorderen Orient;JUDAICA;1934-1936;;070;
410;587117265;zdb;Bord-Merkblatt für die Ankunft in Palästina;;;1934-1935;;050;
411;588045217;zdb;Wir bauen Palästina;"politische, wirtschaftliche und kulturelle Aufbau-Arbeit ; nach dem offiziellen Rechenschafts-Bericht der Exekutive der Jewish Agency vorgelegt dem 18. Zionistenkongress und der 3. Tagung des Council der Agency";;1931-1933;;050;
412;026098652;zdb;Blumenthal's neuste Nachrichten;BNN = Yedîʿôt ḥadāšôt Ś. Blûmenṭal;26;1937-1943;;070;
413;014294303;zdb;Wirtschaftsjahrbuch für Palästina;;;1935-1936;;330;
414;587904836;zdb;Palästina-Kalender;;;1936-1938;;050;
417;587830611;zdb;Die deutsche Alijah in Palästina;Bericht d. Hitachduth Olej Germania;;1936-;;050;
418;015239586;zdb;Protokoll der Verhandlungen des ... Zionisten-Kongresses und der konstituierenden Tagung des Council der Jewish Agency für Palästina;;JUDAICA;1926-1929;;290;
419;011134097;zdb;Mitteilungen und Nachrichten des Deutschen Palästinavereins;;1;1895-1912;;290;
420;010632557;zdb;Yedîʿôt ḥadāšôt;= Neuste Nachrichten = Jedioth chadashoth;26;1942-1973;;070;
421;012772674;zdb;Palästina-Nachrichten;Informationsorgan d. Freunde Palästinas;63;1964-1966;;320;
422;011866047;zdb;Stenographisches Protokoll der Verhandlungen des ... Zionisten-Kongresses und der ... Tagung des Council der Jewish Agency für Palästina;;JUDAICA;1898-1935;;290;
423;012867772;zdb;Palästina;Wirtschaftsbulletin;;1932-1933;;330;
424;013099965;zdb;Palästina-Hefte des Deutschen Vereins vom Heiligen Lande;;1;1931-1956;;290;2698-5128
425;114130225X;zdb;Palästina-Schriften;;;[1982?];;320;
426;012680052;zdb;Schriften des Deutschen Palästina-Instituts;;6,23;1924-1942;;930;
427;1018964452;zdb;Pro Palästina;Schriften d. Deutschen Komitees zur Förderung der Jüdischen Palästinasiedlung;;1918-1918;;290;
428;01270539X;zdb;Pro Palästina;Schriften d. Deutschen Komitees zur Förderung der Jüdischen Palästinasiedlung;;1918-1919;;050;
429;01302051X;zdb;Palästina-Dokumentation;;;1974-1989;;320;
430;012983799;zdb;Jüdische Rundschau;allgemeine jüdische Zeitung;JUDAICA;1902-1938;;290;
432;025267760;zdb;Palästina;Zeitschrift für den Aufbau Palästinas;JUDAICA;1902-1938;;330;
433;1054666008;zdb;Luaḥ erets Yiśraʾel;shimushe ṿe-sifruti;JUDAICA;1895-1916;;290;
439;010693262;zdb;Palästina;Mitteilungen der Evangelischen Karmelmission;1;1913-1977;;230;
440;1277293635;zdb;Nil- und Palästina-Zeitung;;;[1927-1928?];;;
442;010823131;zdb;Israel & Palästina;Zeitschrift für Dialog;7,6;1983-;;956.9405;0175-7024
443;018028942;zdb;Israel & Palästina;Zeitschrift für Dialog;;1995-2003;;320;1431-5769
444;010847367;zdb;Israel & Palästina;Zeitschr. für Dialog;JUDAICA;1983-1995;;956.94;0175-7032
448;1033463663;zdb;Veröffentlichung / Gesellschaft für Palästina-Forschung;;;1910-1910;;930;
451;011134089;zdb;Zeitschrift des Deutschen Palästina-Vereins;"ZDPV ; zugl. Organ des Deutschen Evangelischen Instituts für Altertumswissenschaft des Heiligen Landes";THEO;1878-;;930;0012-1169
452;1017288100;zdb;Zeitschrift des Deutschen Palästina-Vereins;"ZDPV ; zugleich Organ des Deutschen Evangelischen Instituts für Altertumswissenschaft des Heiligen Landes";8;1953-;;900;2747-4534
453;1195238339;zdb;Zeitschrift des Deutschen Palästina-Vereins;"ZDPV ; zugleich Organ des Deutschen Evangelischen Instituts für Altertumswissenschaft des Heiligen Landes";8;1878-1945;;290;
457;015226999;zdb;Zeitschrift für die Geschichte der Juden in der Tschechoslowakei;;JUDAICA;1930-1938;;290;
459;105964942X;zdb;Illustrirte Monatshefte für die gesammten Interessen des Judenthums;;JUDAICA;1865-1866;;290;
462;1176575147;zdb;Jahrbücher für jüdische Geschichte und Litteratur;;JUDAICA;1874-1890;;290;
465;01295117X;zdb;Central-Anzeiger für jüdische Litteratur;Bl. für neuere u. ältere Litteratur d. Judentums;AVL;1891-1891;;290;
466;98019010X;zdb;Central-Anzeiger für jüdische Litteratur;Blätter für neuere und ältere Litteratur des Judentums;0;1890-1890;;290;
467;012791237;zdb;Jüdische Zeitschrift für Wissenschaft und Leben;;1;1862-1875;;050;
469;980306809;zdb;Jüdische Weltrundschau;= Revue du monde juif;JUDAICA;1939-1940;;070;
471;026800500;zdb;Blau-Weiss-Blätter;;;1917-1922;;793;
473;015240452;zdb;Blau-Weiss-Blätter;Monatsschrift für jüdisches Jugendwandern;JUDAICA;1913-1925;;793;
476;01362069X;zdb;Neue Nationalzeitung;Jüdischpolitische Wochenschrift;JUDAICA;1908-1912;;070;
478;985591226;zdb;Neue Nationalzeitung;jüdischpolitische Wochenschrift;JUDAICA;1907-1916;;290;
533;1112276335;zdb;Nationalzeitung;Organ für die gesamten Interessen des jüdischen Volkes;JUDAICA;2005;;290;
546;1180414675;zdb;Die jüdische Emigration;"Beilage der ""Neue National-Zeitung""";JUDAICA;[1913-1914];;290;
592;014472155;zdb;Neue National-Zeitung;jüdischpolitische Wochenschrift;JUDAICA;1907-1915;;290;
612;985591056;zdb;Nationalzeitung;Organ für die gesamten Interessen des jüdischen Volkes;JUDAICA;1906-1907;;290;
642;1139457802;zdb;Di naye tsayṭung;= Die neue Zeitung;;1965;;070;
643;1139458523;zdb;Naye tsayṭung;= Neue Zeitung;;1965;;070;
721;1112293884;zdb;Neue Zeitung;unabhängige jüdische Wochenschrift;JUDAICA;1906-1907;;290;
774;019316267;zdb;Die Stimme der Auschwitz-Überlebenden in Israel;;k 2;1983-1984;;940;
784;015230937;zdb;Die Stimme;Mitteilungsblatt für die Bukowiner;JUDAICA;[1966?-2017];;290;
805;1095557572;zdb;Die Stimme;Organ der Hitachduth Olej Bukowina;;1957-1967;;050;
811;587981210;zdb;Die Stimme Israels;;;1964-1964;;050;
861;010288341;zdb;Die Stimme;jüdische Zeitung;JUDAICA;1928-1937;;290;
870;1247187764;zdb;Die Stimme der Wahrheit;Jahrbuch für wissenschaftlichen Zionismus;JUDAICA;1905;;290;
883;013620592;zdb;Die Stimme;jüdische Zeitung;;1930-1930;;070;
898;013076191;zdb;Die Stimme der Wahrheit;Jahrbuch für wissenschaftlichen Zionismus;JUDAICA;1905-1905;;290;
909;1112631372;zdb;Die Stimme;jüdische Zeitung;JUDAICA;1928-1938;;290;
910;012776734;zdb;Die Stimme;Organ der Allgemeinen Zionisten in Österreich;;1947-1966;;290;
951;015072428;zdb;Jüdisches Volksblatt;;JUDAICA;1888-1888;;070;
952;1097299422;zdb;Selbstwehr;jüdisches Volksblatt;;1919-1933;;050;
953;36736011X;zdb;Jüdisches Volksblatt;;;1929-1933;;050;
955;1112275800;zdb;Jüdisches Volksblatt;;JUDAICA;2005;;070;
956;1054537186;zdb;Jüdisches Volksblatt;unabhängiges Organ für die Interessen von Gemeinde, Schule und Haus;BD 1680;1900-1913;;070;
958;1114680907;zdb;Jüdischer Bote vom Rhein;ein Vereinsanzeiger;JUDAICA;1919-1922;;070;
959;1168651166;zdb;Jüdisches Volksblatt;;JUDAICA;1921;;050;
960;013620843;zdb;Jüdisches Volksblatt;unabhängiges Organ für d. Interessen von Gemeinde, Schule u. Haus;;1913-1913;;070;
961;013620851;zdb;Jüdisches Volksblatt;unabhängiges Organ für d. Interessen von Gemeinde, Schule u. Haus;;1897-1913;;070;
963;013620541;zdb;Jüdisches Volksblatt;zur Belehrung u. Unterhaltung auf jüd. Gebiete;JUDAICA;1853-1866;;070;
964;015154750;zdb;Jüdisches Volksblatt;unabhängiges Organ für die Interessen von Gemeinde, Schule und Haus;JUDAICA;1896-1913;;070;
965;010133291;zdb;Selbstwehr;jüdisches Volksblatt;26;1907-1938;;070;
966;027075443;zdb;Jüdisches Volksblatt;;JUDAICA;1899-1905;;070;
968;012983780;zdb;Israelitische Rundschau;"offizielles Organ d. Zionistischen Vereinigung für Deutschland ; Centralblatt für die jüdischen Vereine";;1901-1902;;070;
970;013011731;zdb;Berliner jüdische Zeitung;;;1929-1929;;070;
971;017858356;zdb;Neue jüdische Zeitung;unabhängig, überparteilich, aktuell;16;1991-1991;;070;
972;018458890;zdb;Krug;monatliche jüdische Zeitung = Der Kreis;;1996-;;070;
973;999733621;zdb;Jüdische Zeitung;unabhängige Monatszeitung für zeitgenössisches Judentum;;2005-[2014?];;070;
974;018635547;zdb;Zentralblatt für die Israeliten Badens und der Pfalz;unabhängige jüdische Monatsschrift;;1931-1933;;290;
975;023968885;zdb;Evrejskaja gazeta;"EG ; russischsprachige jüdische Zeitung";06;2002-2014;;070;1610-8418
976;1038702607;zdb;Jüdische Zeitung Baden-Baden für Baden-Baden und den Landkreis Rastatt;= Evrejskaja gazeta Baden-Badena dlja Baden-Badena i Okruga Raštatta;;2012-;;;
977;989133761;zdb;Berliner jüdische Zeitung;"BJZ ; Organ für die Gesamtinteressen des Judentums";;1931-1932;;070;
978;019787456;zdb;Jüdische Zeitung;"Kultur, Politik, Wirtschaft, Ges., Lokales ; Mitteilungsbl. d. JKG München";06;1985-1991;;070;
979;01522368X;zdb;Jüdische Zeitung;;;1894-1895;;290;
980;015235424;zdb;Neie jidiše tzeiṭung;umparṭeiiš natzionale wochn-tzeiṭung fun der Še'ērît-hap-Pelêṭā in Deiṭšland = Neue jüdische Zeitung : Wochenzeitung;JUDAICA;1950-[1974];;070;
981;015020320;zdb;Junge jüdische Zeitung;JJZ;JUDAICA;1992-1992;;290;
982;588055840;zdb;Jüdische Zeitung für Thüringen;;;1930-1930;;050;
983;588056197;zdb;Posener jüdische Zeitung;;;1920-1921;;050;
985;1250424534;zdb;Allgemeine jüdische Zeitung;Blätter für überlieferungstreues Judentum : zugleich Jüdisches Archiv : Zeitschrift für jüdisches Museal- und Buchwesen, Geschichte, Volkskunde und Familienforschung;;[1929-1929?];;050;
986;1276297998;zdb;Neue Jüdische Zeitung;;;1881-1884;;;
