,idn,library,title,subtitle,category,date,person,ddc,issn,language,gnd_number,responsibility,publication_info,frequency,subjects,electronic_access,notes,physical_description,series_statement,other_identifier,linking_entry,dewey_classification,gov_doc_classification
4,1162219637,[<Element {http://www.loc.gov/MARC21/slim}subfield at 0x3995d5180>],Jüdischer Almanach,,JUDAICA,1921,,050,,ger,urn:nbn:de:hebis:30:1-170151,herausgegeben von Raphael Chamizer,,,[],https://nbn-resolving.org/urn:nbn:de:hebis:30:1-170151,Reproduktion,,,urn:nbn:de:hebis:30:1-170151,['\n'],050,
5,1162220708,[<Element {http://www.loc.gov/MARC21/slim}subfield at 0x399657880>],Juedischer Almanach für Gross-Rumänien,mit Kalender für das Jahr ... = almanahul evreiesc pentru România-Mare : cu calendarul pentru anul ...,JUDAICA,1922-1923,,290,,ger,urn:nbn:de:hebis:30:1-153505,Herausgeber: Dr. Markus Krämer,,,[],https://nbn-resolving.org/urn:nbn:de:hebis:30:1-153505,Reproduktion,,,urn:nbn:de:hebis:30:1-153505,['\n'],290,
6,1143848942,[<Element {http://www.loc.gov/MARC21/slim}subfield at 0x399aab680>],Jüdischer Almanach,,JUDAICA,1902-1903,,910,,ger,urn:nbn:de:hebis:30:1-118612,herausgegeben aus Anlass des 25-semestrigen Jubiläums von der Vereinigung Jüdischer Hochschüler aus Galizien Bar Kochba in Wien,,,[],https://nbn-resolving.org/urn:nbn:de:hebis:30:1-118612,"Ausgabe 1902/1903 als ""teilweise veränderte Neuausgabe"" bezeichnet",,,urn:nbn:de:hebis:30:1-118612,['\n'],910,
7,022996001,[<Element {http://www.loc.gov/MARC21/slim}subfield at 0x399aabcc0>],unkown,europäisch-jüdischer Almanach,"7,7",1999-2007,,290,,ger,,,,,['Judentum'],,,,,,[],290,
8,010133259,[<Element {http://www.loc.gov/MARC21/slim}subfield at 0x399aabec0>],Jüdischer Almanach,,JUDAICA,1921-1921,,050,,ger,,hrsg. von Raphael Chamizer,,,[],,,,,,['\n'],050,
9,010059911,[<Element {http://www.loc.gov/MARC21/slim}subfield at 0x399aaba80>],Jüdischer Almanach,,JUDAICA,1902-1910,,910,,ger,,,,,[],,,,,,['\n'],910,
10,016628705,[<Element {http://www.loc.gov/MARC21/slim}subfield at 0x399aab780>],unkown,,JUDAICA,1992-2001,,300,,ger,,hrsg. von Jakob Hessing,,,"['Juden', 'Judentum', 'Juden', 'Judentum']",,,,,,['\n'],300,
0,025317407,[<Element {http://www.loc.gov/MARC21/slim}subfield at 0x399abb6c0>],Hebraeische Bibliographie,Blätter für neuere und ältere Literatur des Judenthums ; zugleich eine Ergänzung zu allen Organen des Buchhandels,JUDAICA,1858-1882,,010,,ger,urn:nbn:de:hebis:30:1-127102,,,,[],https://nbn-resolving.org/urn:nbn:de:hebis:30:1-127102,Gesehen am 01.12.2021,Online-Ressource,,urn:nbn:de:hebis:30:1-127102,"['\n', '\n', '\n']",010,
1,012965995,[<Element {http://www.loc.gov/MARC21/slim}subfield at 0x399ac8380>],unkown,,"24,1",1896-1921,,010,,ger,,,,,"['Judentum', 'Juden', 'Judaika']",,"Repr.: Hildesheim [u.a.] : Olms, 1973",,,,"['\n', '\n']",010,
2,012965987,[<Element {http://www.loc.gov/MARC21/slim}subfield at 0x399abf6c0>],unkown,Blätter für neuere und ältere Literatur des Judenthums : zugleich eine Ergänzung zu allen Organen des Buchhandels,01a,1858-1882,,010,,ger,,redigirt von M. Steinschneider,,,"['Judentum', 'Juden', 'Judaika', 'Jahrhundert, 19.', 'Bibliographien', 'Periodika', 'Bibliographie', 'Periodika', ':z Geschichte 1800-1900', 'Bibliografie', 'Juden']",,"Repr.: Hildesheim [u.a.] : Olms,1972",,,,"['\n', '\n']",010,
3,978893107,[<Element {http://www.loc.gov/MARC21/slim}subfield at 0x399abdec0>],Zeitschrift für hebraeische Bibliographie,,JUDAICA,1896-1921,,010,,ger,urn:nbn:de:hebis:30:1-135904,,,,[],https://nbn-resolving.org/urn:nbn:de:hebis:30:1-135904,Gesehen am 08.12.21,Online-Ressource,,urn:nbn:de:hebis:30:1-135904,"['\n', '\n']",010,
0,1162302755,[<Element {http://www.loc.gov/MARC21/slim}subfield at 0x399ab9bc0>],Freie jüdische Lehrerstimme,"Monatsschrift für die Pflege der Interessen des Judentums in Schule und Haus : Organ des ""Österr.-Israelit. Religionslehrerbund""",JUDAICA,1912-1920,,370,,ger,urn:nbn:de:hebis:30:1-127254,Österreichisch-Israelitischer Religionslehrerbund,,,[],https://nbn-resolving.org/urn:nbn:de:hebis:30:1-127254,Reproduktion,,,urn:nbn:de:hebis:30:1-127254,['\n'],370,
1,012953741,[<Element {http://www.loc.gov/MARC21/slim}subfield at 0x399ac9240>],Freie jüdische Lehrerstimme,Monatsschr. für d. Pflege d. Interessen d. Judentums in Schule u. Haus,JUDAICA,1912-1920,,370,,ger,,Österreichisch-Israelitischer Religionslehrerbund,,,[],,,,,,"['\n', '\n']",370,
0,012965995,[<Element {http://www.loc.gov/MARC21/slim}subfield at 0x399c09280>],unkown,,"24,1",1896-1921,,010,,ger,,,,,"['Judentum', 'Juden', 'Judaika']",,"Repr.: Hildesheim [u.a.] : Olms, 1973",,,,"['\n', '\n']",010,
1,978893107,[<Element {http://www.loc.gov/MARC21/slim}subfield at 0x399c09580>],Zeitschrift für hebraeische Bibliographie,,JUDAICA,1896-1921,,010,,ger,urn:nbn:de:hebis:30:1-135904,,,,[],https://nbn-resolving.org/urn:nbn:de:hebis:30:1-135904,Gesehen am 08.12.21,Online-Ressource,,urn:nbn:de:hebis:30:1-135904,"['\n', '\n']",010,
0,018487297,[<Element {http://www.loc.gov/MARC21/slim}subfield at 0x399bfe1c0>],Zeitschrift für die Geschichte der Juden in Deutschland,,,1934-1934,,290,,ger,,,,,[],,,,,,[],290,
1,02526933X,[<Element {http://www.loc.gov/MARC21/slim}subfield at 0x399c6ed00>],Zeitschrift für die Geschichte der Juden in Deutschland,,JUDAICA,1887-1937,,290,,ger,,,,,[],http://sammlungen.ub.uni-frankfurt.de/cm/id/2259275,Teilweise digitalisiert in Kooperation und aus der Sammlung des Jüdischen Museums Berlin,Online-Ressource,,,"['\n', '\n']",290,
2,011278900,[<Element {http://www.loc.gov/MARC21/slim}subfield at 0x399cfab40>],unkown,,1,1929-1938,,290,,ger,,,,,"['Juden', 'Geschichte', 'Zeitschrift']",,,,,,['\n'],290,
3,011750847,[<Element {http://www.loc.gov/MARC21/slim}subfield at 0x399c6ff80>],unkown,,05b,1887-1892,,290,,ger,,,,,"['Juden', 'Geschichte', 'Sozialgeschichte', 'Juden', ':z Sozialgeschichte']",,Repr.: Nendeln : Kraus,,,,['\n'],290,
0,012867624,[<Element {http://www.loc.gov/MARC21/slim}subfield at 0x399cf9dc0>],Altneuland,Monatsschr. für d. wirtschaftl. Erschließung Palästinas,JUDAICA,1904-1906,,330,,ger,,Zionistische Kommission zur Erforschung Palästinas,,,[],,,,,,"['\n', '\n']",330,
1,025267701,[<Element {http://www.loc.gov/MARC21/slim}subfield at 0x399c6e4c0>],Altneuland,Monatsschrift für die wirtschaftliche Erschließung Palästinas,0,1904-1906,,330,,ger,,Zionistische Kommission zur Erforschung Palästinas,,,[],http://sammlungen.ub.uni-frankfurt.de/cm/id/2266000,Gesehen am 16.06.06,Online-Ressource,,,"['\n', '\n']",330,
0,010277498,[<Element {http://www.loc.gov/MARC21/slim}subfield at 0x397e0c740>],KC-Blätter / Kartell-Convent,,JUDAICA,1911-1914,,290,,ger,,,,,[],,,,,,[],290,
1,980804361,[<Element {http://www.loc.gov/MARC21/slim}subfield at 0x399c6d7c0>],KC-Blätter,Monatsschrift der im Kartell-Convent vereinigten Korporationen,JUDAICA,1910-1933,,070,,ger,,,,,[],http://sammlungen.ub.uni-frankfurt.de/cm/id/2268830,Gesehen am 09.08.06,Online-Ressource,,,['\n'],070,
2,013622692,[<Element {http://www.loc.gov/MARC21/slim}subfield at 0x397e11a00>],KC-Blätter,,24,1916-1933,,290,,ger,,,,,[],,,,,,['\n'],290,
3,01276891X,[<Element {http://www.loc.gov/MARC21/slim}subfield at 0x399df4540>],KC-Blätter,Monatsschrift d. im Kartell-Convent vereinigten Korporationen,24,1910-1933,,360,,ger,,,,,[],,,,,,['\n'],360,
0,027047121,[<Element {http://www.loc.gov/MARC21/slim}subfield at 0x397df9100>],Bericht der Hochschule für die Wissenschaft des Judenthums in Berlin,,JUDAICA,1874-1938,,290,,ger,,,,,[],http://sammlungen.ub.uni-frankfurt.de/cm/id/2273546,Gesehen am 16.06.06,Online-Ressource,,,[],290,
1,011861576,[<Element {http://www.loc.gov/MARC21/slim}subfield at 0x399df6240>],unkown,,1,1874-1938,,290,,ger,,,,,['Bericht'],,,,,,"['\n', '\n']",290,
0,012933279,[<Element {http://www.loc.gov/MARC21/slim}subfield at 0x397e10400>],Bar Kochba,Bl. für d. heranwachsende jüd. Jugend,JUDAICA,1919-1921,,290,,ger,,,,,[],,,,,,"['\n', '\n']",290,
1,367067544,[<Element {http://www.loc.gov/MARC21/slim}subfield at 0x399c6eb40>],"""Bar Kochba"" Blätter / Jüdischer Turn- und Sport-Verein ""Bar Kochba"" e. V., Hamburg",,,1929-1929,,050,,ger,,,,,[],,,,,,[],050,
2,587112123,[<Element {http://www.loc.gov/MARC21/slim}subfield at 0x399ee5d00>],Blätter des Jüdischen Turn- u. Sportvereins Bar-Kochba e. V. Leipzig,,,1921,,050,,ger,,,,,[],,,,,,['\n'],050,
3,587290137,[<Element {http://www.loc.gov/MARC21/slim}subfield at 0x399f4ecc0>],Jüdische Jugendblätter,,,1921-1921,,050,,ger,,"Hrsg. v. Jüd. Wanderbund ""Blau-Wei"", Teplitz-Schönau u. v. Verein Jüd. Hochschüler ""Bar Kochba"", Prag",,,[],,,,,,[],050,
4,979070430,[<Element {http://www.loc.gov/MARC21/slim}subfield at 0x399ee7880>],Bar Kochba,Blätter für die heranwachsende jüdische Jugend,JUDAICA,1919-1921,,290,,ger,,,,,[],http://sammlungen.ub.uni-frankfurt.de/cm/id/2276426,Gesehen am 16.06.06,Online-Ressource,,,['\n'],290,
5,026668327,[<Element {http://www.loc.gov/MARC21/slim}subfield at 0x399f4f940>],Bar Kochba-Hakoah Nachrichten,= Yedi'ot Bar-Kochba-Hakoah,,1968-1988,,290,,ger,,,,,[],,,,,,[],290,
6,015272494,[<Element {http://www.loc.gov/MARC21/slim}subfield at 0x399f4eb80>],Bar Kochba,Mitteilungen des Südwestdeutschen Gaues im Deutschen Kreis des Makkabi Weltverbandes,JUDAICA,1926-,,290,,ger,,,,,[],,,,,,"['\n', '\n']",290,
7,015272486,[<Element {http://www.loc.gov/MARC21/slim}subfield at 0x39a1333c0>],Mitteilungen des Jüdischen Turn- und Sportvereins Bar-Kochba e.V. Frankfurt a.M.,,JUDAICA,1926-1926,,290,,ger,,,,,[],,,,,,"['\n', '\n']",290,
8,1143848942,[<Element {http://www.loc.gov/MARC21/slim}subfield at 0x39a133940>],Jüdischer Almanach,,JUDAICA,1902-1903,,910,,ger,urn:nbn:de:hebis:30:1-118612,herausgegeben aus Anlass des 25-semestrigen Jubiläums von der Vereinigung Jüdischer Hochschüler aus Galizien Bar Kochba in Wien,,,[],https://nbn-resolving.org/urn:nbn:de:hebis:30:1-118612,"Ausgabe 1902/1903 als ""teilweise veränderte Neuausgabe"" bezeichnet",,,urn:nbn:de:hebis:30:1-118612,['\n'],910,
9,1154538745,[<Element {http://www.loc.gov/MARC21/slim}subfield at 0x39a133c00>],Bar Kochba,Mitteilungen des Südwestdeutschen Gaues im Deutschen Kreis des Makkabi Weltverbandes,,1926-1927,,290,,ger,urn:nbn:de:hebis:30:1-156792,,,,[],https://nbn-resolving.org/urn:nbn:de:hebis:30:1-156792,Reproduktion,,,urn:nbn:de:hebis:30:1-156792,['\n'],290,
10,1001554094,[<Element {http://www.loc.gov/MARC21/slim}subfield at 0x39a133300>],Bar-Kochba-Blätter,Mitteilungen des Jüdischen Turnvereins Bar-Kochba e.V. Berlin,,1919-1920,,290,,ger,,,,,[],,,,,,[],290,
11,1051585929,[<Element {http://www.loc.gov/MARC21/slim}subfield at 0x39a133600>],Jüdische Turnzeitung,"officielles Organ d. jüdischen Turnvereins Bar Kochba', Berlin",JUDAICA,1900-1912,,793,,ger,urn:nbn:de:hebis:30:1-138731,,,,[],https://nbn-resolving.org/urn:nbn:de:hebis:30:1-138731,Untert. wechselt,Online-Ressource,,urn:nbn:de:hebis:30:1-138731,"['\n', '\n']",793,
12,957409559,[<Element {http://www.loc.gov/MARC21/slim}subfield at 0x39a13c740>],Mitteilungen des A.H-.Verbandes Bar Kochba - Theodor Herzl Prag und des Kreises ihrer Freunde,,16,1975-,,050,,ger,,,,,[],,,,,,[],050,
13,1121608418,[<Element {http://www.loc.gov/MARC21/slim}subfield at 0x39a13c440>],Blätter des Jüdischen Turn- und Sportvereins Bar-Kochba e.V. Leipzig,,,1921-1921,,050,,ger,,,,,[],,Nicht im Internet verfügbar,,,,['\n'],050,
14,1128829673,[<Element {http://www.loc.gov/MARC21/slim}subfield at 0x39a13c6c0>],Bar Kochba,offizielles Organ des jüdischen Turn- u. Sportvereins Bar Kochba e.V. Frankfurt a.M.,JUDAICA,2017,,290,,ger,urn:nbn:de:hebis:30:1-153671,,,,[],https://nbn-resolving.org/urn:nbn:de:hebis:30:1-153671,Reproduktion,Online-Ressource,,urn:nbn:de:hebis:30:1-153671,['\n'],290,
15,1128839113,[<Element {http://www.loc.gov/MARC21/slim}subfield at 0x39a13c2c0>],Mitteilungen des Jüdischen Turn- und Sportvereins Bar-Kochba e.V. Frankfurt a.M.,,JUDAICA,1925-1926,,290,,ger,urn:nbn:de:hebis:30:1-135792,,,,[],https://nbn-resolving.org/urn:nbn:de:hebis:30:1-135792,Reproduktion,,,urn:nbn:de:hebis:30:1-135792,"['\n', '\n']",290,
16,012759562,[<Element {http://www.loc.gov/MARC21/slim}subfield at 0x39a13cd40>],Der Makkabi,Organ d. Deutschen Kreises im Makkabi-Weltverband,,1928-1938,,070,,ger,,,,,[],,,,,,['\n'],070,
17,012759503,[<Element {http://www.loc.gov/MARC21/slim}subfield at 0x39a13d040>],Jüdische Turnzeitung,"officielles Organ d. jüdischen Turnvereins Bar Kochba', Berlin",JUDAICA,1900-1912,,793,,ger,,,,,[],,Untert. wechselt,,,,"['\n', '\n']",793,
18,010059911,[<Element {http://www.loc.gov/MARC21/slim}subfield at 0x39a13ce40>],Jüdischer Almanach,,JUDAICA,1902-1910,,910,,ger,,,,,[],,,,,,['\n'],910,
0,984047751,[<Element {http://www.loc.gov/MARC21/slim}subfield at 0x397126b40>],Central-Verein-Zeitung,Blätter für Deutschtum u. Judentum ; C-V-Zeitung ; Organ des Central-Vereins Deutscher Staatsbürger Jüdischen Glaubens,JUDAICA,1926-1933,,070,,ger,,,,,[],http://sammlungen.ub.uni-frankfurt.de/cm/id/2571117,Gesehen am 03.05.07,Online-Ressource,,,['\n'],070,
1,011860472,[<Element {http://www.loc.gov/MARC21/slim}subfield at 0x399ee5900>],Central-Verein-Zeitung,Blätter für Deutschtum u. Judentum ; C-V-Zeitung ; Organ des Central-Vereins Deutscher Staatsbürger Jüdischen Glaubens,1,1925-1933,,070,,ger,,,,,[],,,,,,['\n'],070,
2,01318069X,[<Element {http://www.loc.gov/MARC21/slim}subfield at 0x39a263f40>],unkown,Blätter für Deutschtum und Judentum ; C-V-Zeitung ; Organ des Central-Vereins Deutscher Staatsbürger Jüdischen Glaubens,1,1922-1938,,070,,ger,,,,,"['Juden', 'Zeitschrift']",,,,,,"['\n', '\n', '\n', '\n', '\n']",070,
3,02526799X,[<Element {http://www.loc.gov/MARC21/slim}subfield at 0x39a13f340>],Central-Verein-Zeitung,Blätter für Deutschtum und Judentum ; C-V-Zeitung ; Organ des Central-Vereins Deutscher Staatsbürger Jüdischen Glaubens,JUDAICA,1922-1938,,290,,ger,urn:nbn:de:hebis:30:1-156845,,,,[],https://nbn-resolving.org/urn:nbn:de:hebis:30:1-156845,Gesehen am 24.3.2021,Online-Ressource,,urn:nbn:de:hebis:30:1-156845,"['\n', '\n', '\n', '\n', '\n']",290,
0,010346961,[<Element {http://www.loc.gov/MARC21/slim}subfield at 0x39a141a80>],Jeschurun,Taschenbuch für Schilderungen und Anklänge aus dem Leben der Juden auf das Jahr ... israelitischer Zeitrechnung,JUDAICA,1841-1841,,290,,ger,,,,,[],,,,,,[],290,
1,013007467,[<Element {http://www.loc.gov/MARC21/slim}subfield at 0x39a26c040>],Jeschurun,ein Monatsbl. für u. über Israel,,1859-1861,,290,,ger,,,,,[],,,,,,[],290,
2,019914873,[<Element {http://www.loc.gov/MARC21/slim}subfield at 0x39a26ccc0>],Jeschurun,"Wochenschrift zur Förderung jüdischen Geistes und jüdischen Lebens in Haus,Gemeinde und Schule",,1883-1888,,290,,,,,,,[],,,,,,[],290,
3,015319814,[<Element {http://www.loc.gov/MARC21/slim}subfield at 0x39a13ef40>],Der Israelit und Jeschurun,,JUDAICA,1889-1891,,290,,ger,,,,,[],,,,,,['\n'],290,
4,110975597X,[<Element {http://www.loc.gov/MARC21/slim}subfield at 0x39a26cc40>],Jeschurun,Taschenbuch für Schilderungen und Anklänge aus dem Leben der Juden auf das Jahr ... israelitischer Zeitrechnung,,2016,,290,,ger,,,,,[],,Reproduktion,Online-Ressource,,,['\n'],290,
5,98941308X,[<Element {http://www.loc.gov/MARC21/slim}subfield at 0x39a26d180>],Jeschurun,Zeitschrift für die Wissenschaft des Judenthums,,1857-1878,,050,,heb,,,,,[],,,,,,['\n'],050,
6,989412989,[<Element {http://www.loc.gov/MARC21/slim}subfield at 0x39a26ce80>],Jeschurun,Zeitschrift für die Wissenschaft des Judenthums,,1857-1878,,050,,heb,,,,,[],,,,,,['\n'],050,
7,1059545799,[<Element {http://www.loc.gov/MARC21/slim}subfield at 0x39a608080>],Jeschurun,Zeitschrift für die Wissenschaft des Judenthums,JUDAICA,1857-1878,,050,,heb,urn:nbn:de:hebis:30:1-128639,,,,[],https://nbn-resolving.org/urn:nbn:de:hebis:30:1-128639,,Online-Ressource,,urn:nbn:de:hebis:30:1-128639,['\n'],050,
8,1059545802,[<Element {http://www.loc.gov/MARC21/slim}subfield at 0x39a608600>],Jeschurun,Zeitschrift für die Wissenschaft des Judenthums,JUDAICA,1857-1878,,050,,heb,urn:nbn:de:hebis:30:1-128627,,,,[],https://nbn-resolving.org/urn:nbn:de:hebis:30:1-128627,,Online-Ressource,,urn:nbn:de:hebis:30:1-128627,['\n'],050,
9,1059648687,[<Element {http://www.loc.gov/MARC21/slim}subfield at 0x39a608780>],Jeschurun,"ein Monatsblatt zur Förderung jüdischen Geistes u. jüdischen Lebens in Haus, Gemeinde u. Schule",JUDAICA,1855-1888,,070,,ger,,,,,[],https://www.digitale-sammlungen.de/search?query=manifestation_id%3A%22ZDB%7C975624-3%7C%22&sortField=date&sortOrder=asc&handler=simple-metadata,,Online-Ressource,,,['\n'],070,
10,01503495X,[<Element {http://www.loc.gov/MARC21/slim}subfield at 0x39a608bc0>],Jeschurun,Zeitschrift für die Wissenschaft des Judenthums,JUDAICA,1859-1878,,290,,ger,,,,,[],,,,,,[],290,
11,015222101,[<Element {http://www.loc.gov/MARC21/slim}subfield at 0x39a608a80>],Jeschurun,"Halbmonatsschrift für Pädagogik, Homiletik und Litteratur",0,1892-1899,,070,,ger,,,,,[],,,,,,"['\n', '\n']",070,
12,014472104,[<Element {http://www.loc.gov/MARC21/slim}subfield at 0x39a6082c0>],Jeschurun,Organ für d. geistigen u. sozialen Interessen d. Judenthums,JUDAICA,[1901]-1904,,290,,ger,,,,,[],,,,,,['\n'],290,
13,1171845286,[<Element {http://www.loc.gov/MARC21/slim}subfield at 0x39a609700>],Jeschurun,Organ für die geistigen und sozialen Interessen des Judenthums,JUDAICA,[1901-1902],,290,,ger,urn:nbn:de:hebis:30:1-135392,,,,[],https://nbn-resolving.org/urn:nbn:de:hebis:30:1-135392,Mehr nicht digitalisiert,,,urn:nbn:de:hebis:30:1-135392,['\n'],290,
14,1164510851,[<Element {http://www.loc.gov/MARC21/slim}subfield at 0x39a608200>],Jeschurun,"Halbmonatsschrift für Pädagogik, Homiletik und Litteratur",JUDAICA,1892-1897,,070,,ger,urn:nbn:de:hebis:30:1-182830,,,,[],https://nbn-resolving.org/urn:nbn:de:hebis:30:1-182830,"Aus der Sammlung des Leo Baeck Institute, digitalisiert in Kooperation mit dem Center for Jewish History, NY",,,urn:nbn:de:hebis:30:1-182830,"['\n', '\n']",070,
15,025272799,[<Element {http://www.loc.gov/MARC21/slim}subfield at 0x39a609e80>],Jeschurun,"ein Monatsblatt zur Förderung jüdischen Geistes und jüdischen Lebens in Haus, Gemeinde und Schule",JUDAICA,1855-1887,,290,,ger,,,,,[],http://sammlungen.ub.uni-frankfurt.de/cm/id/2932754,Gesehen am 07.09.2017,Online-Ressource,,,['\n'],290,
16,025272896,[<Element {http://www.loc.gov/MARC21/slim}subfield at 0x39a609580>],Jeschurun,Monatsschrift für Lehre und Leben im Judentum,0,1914-1930,,290,,ger,,,,,[],http://sammlungen.ub.uni-frankfurt.de/cm/id/2292929,Gesehen am 04.11.03,Online-Ressource,,,['\n'],290,
17,015319148,[<Element {http://www.loc.gov/MARC21/slim}subfield at 0x39a609980>],Yešūrūn,miktāv 'ittī ham-me' assēf kol 'inyenē ḥokmat Yiśrā'ēl ... = Jeschurun,JUDAICA,1856-1878,,290,,ger,,,,,[],,,,,,[],290,
18,015159620,[<Element {http://www.loc.gov/MARC21/slim}subfield at 0x39a60a180>],Jeschurun,"ein Monatsblatt zur Förderung jüdischen Geistes u. jüdischen Lebens in Haus, Gemeinde u. Schule",JUDAICA,1855-1888,,070,,ger,,,,,[],,,,,,"['\n', '\n']",070,
19,011861630,[<Element {http://www.loc.gov/MARC21/slim}subfield at 0x39a608280>],Jeschurun,Monatsschrift für Lehre und Leben im Judentum,0,1914-1930,,290,,ger,,,,,[],,,,,,['\n'],290,
0,017857368,[<Element {http://www.loc.gov/MARC21/slim}subfield at 0x399ee5d40>],Sulamith Wülfing,,05,1987-1996,,700,,ger,,,,,[],,Kalender,,,,[],700,
1,010329447,[<Element {http://www.loc.gov/MARC21/slim}subfield at 0x39a6141c0>],Sulamith,ein christliches Taschenbuch zur Belebung häuslicher und öffentlicher Erbauung auf das Jahr ...,,1837-1837,,050,,ger,,,,,[],,,,,,[],050,
2,211476536,[<Element {http://www.loc.gov/MARC21/slim}subfield at 0x39a26c200>],Sulamith Wülfing,Kunstpostkt.-Kal.,2700,[1989?],,050,,ger,,,,,[],,,,,,[],050,
3,021057656,[<Element {http://www.loc.gov/MARC21/slim}subfield at 0x39a60b940>],Sulamith-Wülfing-Kalender,,,1934-1965,,700,,ger,,,,,[],,,,,,[],700,
4,015211908,[<Element {http://www.loc.gov/MARC21/slim}subfield at 0x39a60b040>],Šulamis,ein idiše natzjonale wechentliche tzeitung = Sulamith,JUDAICA,1889-1890,,070,,yid,,hrsg.  fun der Ḥevre Ḥoveve Tzijen,,,[],,,,,,[],070,
5,025271539,[<Element {http://www.loc.gov/MARC21/slim}subfield at 0x39a60bf00>],Sulamith,eine Zeitschrift zur Beförderung der Cultur und Humanität unter den Israeliten,JUDAICA,1806-1848,,050,,ger,,,,,[],https://sammlungen.ub.uni-frankfurt.de/cm/nav/index/title/,Gesehen am 06.09.2017,,,,['\n'],050,
6,012928569,[<Element {http://www.loc.gov/MARC21/slim}subfield at 0x39a73dd40>],Sulamith,eine Zeitschrift zur Beförderung der Cultur und Humanität unter den Israeliten,JUDAICA,1806-1848,,050,,ger,,hrsg. von David Fränkel,,,[],,,,,,['\n'],050,
0,01301496X,[<Element {http://www.loc.gov/MARC21/slim}subfield at 0x39b90bf40>],Der Orient in Wort und Bild,,,1930-1931,,890,,ger,,,,,[],,,,,,[],890,
1,026342278,[<Element {http://www.loc.gov/MARC21/slim}subfield at 0x39b914c00>],Die deutsche Industrie und der Orient,"illustrierte Zeitschrift zur Förderung der Handelsbeziehungen zwischen der deutschen Industrie und dem gesamten Orient, insbesondere dessen Rohstofferzeugung = Senajä Alman wä Scharq",,1924-1927,,300,,ger,,,,,[],,,,,,"['\n', '\n']",300,
